# batch=4 heads=8 head_dim=64 dtype=f32 backend=cpu device=cpu seed=0 repeats=2
impl,seq_len,seed,repeat,time_ms,tflops_per_s,est_hbm_gb,arithmetic_intensity,error
naive,256,0,0,48.4782,0.0111,0.0419,12.80,
xla,256,0,0,33.8816,0.0158,0.0419,12.80,
pallas,256,0,0,68.4092,0.0078,0.0084,64.00,
naive,256,1,1,35.9704,0.0149,0.0419,12.80,
xla,256,1,1,29.7283,0.0181,0.0419,12.80,
pallas,256,1,1,71.1151,0.0075,0.0084,64.00,
naive,512,0,0,119.2993,0.0180,0.1510,14.22,
xla,512,0,0,87.0110,0.0247,0.1510,14.22,
pallas,512,0,0,198.9050,0.0108,0.0168,128.00,
naive,512,1,1,127.8963,0.0168,0.1510,14.22,
xla,512,1,1,83.5159,0.0257,0.1510,14.22,
pallas,512,1,1,201.5317,0.0107,0.0168,128.00,
